模板名称,模板类型(中),模板类型(英),模板类型Key,模板ID,是否自定义,单元Key,单元中文名,单元英文名,采集间隔(s),数据类型,采集范围,字段Key,字段中文名,字段英文名,字段单位,值类型,支持告警阈值,说明(中文)
"网络设备","网络设备","Network Device","network","209760028721155","否","boardTemp","设备温度","Device Temperature","300","table","1","devBoardTemp","设备温度","Device Temperature","℃","数值","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","cpu","CPU","CPU Usage","300","table","1","cpuUtilization","CPU利用率","CPU Usage","%","数值","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","deviceDefect","设备缺陷","Device Defect","300","table","1","responseTime","设备响应时间","Device Response Time","ms","数值","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","deviceDefect","设备缺陷","Device Defect","300","table","1","unreachableRate","设备不可达性比例","Device Unreachability Ratio","%","数值","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","fanStatus","风扇监控","Fan Monitor","300","table","1","devFanStatus","风扇状态","Fan Status","","字符串","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","fanStatus","风扇监控","Fan Monitor","300","table","1","devFanSpeed","风扇转速","Fan Speed","RPM","数值","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","interface","接口统计","Interface Statistics","300","table","1","interfaceNegotiationRate","接口协商速率","Negotiated Interface Rate","bps","数值","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","interface","接口统计","Interface Statistics","300","table","1","rxPerSec","接口接收速率","Interface Rx Rate","bps","数值","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","interface","接口统计","Interface Statistics","300","table","1","txPerSec","接口发送速率","Interface Tx Rate","bps","数值","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","interface","接口统计","Interface Statistics","300","table","1","rxUtilization","接口输入带宽利用率","Interface Input Bandwidth Usage","%","数值","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","interface","接口统计","Interface Statistics","300","table","1","txUtilization","接口输出带宽利用率","Interface Output Bandwidth Usage","%","数值","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","memory","内存","Memory","300","table","1","memUtilization","内存利用率","Memory Usage","%","数值","是",""
"网络设备","网络设备","Network Device","network","209760028721155","否","powerStatus","电源状态","Power Supply Status","300","table","1","devPowerStatus","电源状态","Power Supply Status","","字符串","是",""
"ACG Manager","ACG Manager","ACG Manager","acg","209760028721157","否","basic","系统信息","System Info","300","row","3","acgcpu","CPU使用率","CPU Usage","%","数值","是","当前系统实际使用的CPU资源与分配给系统的总CPU资源的百分比。"
"ACG Manager","ACG Manager","ACG Manager","acg","209760028721157","否","basic","系统信息","System Info","300","row","3","acgdisk","磁盘使用率","Disk Usage","%","数值","是","当前系统磁盘已使用的空间与总空间的百分比。"
"ACG Manager","ACG Manager","ACG Manager","acg","209760028721157","否","basic","系统信息","System Info","300","row","3","acgfeatureversion","特征库信息","Signature Library Info","","字符串","是","当前系统的特征库信息。"
"ACG Manager","ACG Manager","ACG Manager","acg","209760028721157","否","basic","系统信息","System Info","300","row","3","acgmem","内存使用率","Memory Usage","%","数值","是","当前系统已使用的内存大小与总内存大小的百分比。"
"ACG Manager","ACG Manager","ACG Manager","acg","209760028721157","否","basic","系统信息","System Info","300","row","3","acgnum","在线管理员数","Online Administrators","","数值","是","当前系统中处于在线状态并拥有操作管理权限的管理员数量。"
"ACG Manager","ACG Manager","ACG Manager","acg","209760028721157","否","basic","系统信息","System Info","300","row","3","acgruntime","运行时长","Uptime","","字符串","是","系统提供服务起截止到当前时间。"
"ACG Manager","ACG Manager","ACG Manager","acg","209760028721157","否","basic","系统信息","System Info","300","row","3","acgsystem","系统版本","System Version","","字符串","是","当前系统中网管的版本。"
"ACG Manager","ACG Manager","ACG Manager","acg","209760028721157","否","basic","系统信息","System Info","300","row","3","acgversion","版本信息","Version Info","","字符串","是","当前系统的版本。"
